좋은 친구부터,궁금한 게 있는데 넌 단 음식 잘 먹냐? 난 어릴 적부터 단걸 싫어해서 먹어본 적이 별로 없어,,
,"> 근데 최근에 오랜 친구한테 마카롱이란 걸 받았단 말이지 그래서 한번 먹어봤는데 맛이 꽤 괜찮더라고! 음, 가끔씩은 그런 군것질도 괜찮은 것 같아!",,
,"> 근데 얼마 전에 오랜 친구가 하도 추천하길래 파르페라는 걸 먹어봤거든?! 달콤하고 차가워서 머리가 찡 울리길래 깜짝 놀랐지 뭐냐! 음, 가끔씩은 그런 군것질도 괜찮은 것 같아!",,
,"> 근데 요전에 오랜 친구한테 러스크라는 걸 받았단 말이지! 한 번도 먹어본 적 없는 단 음식이라니! 모험하는 셈 치고 입에 딱 넣었는데 바삭바삭한 게 제법 괜찮더라고! 음, 가끔씩은 그런 군것질도 괜찮은 것 같아!",,
,,,
,궁금한 게 있는데 맑은 날이랑 비 오는 날 중에 넌 어떤 날이 더 좋냐?,,
,선택지,맑은 날,> 사실 난 해를 부르는 남자거든 중요한 일이 있는 날엔 절대 비가 내리지 않아! 소풍이나 운동회 전날 밤에는 내 생각을 해봐! 어쩌면 진짜로 날이 갤지 모르니까! 으-하하핫!
,,비 오는 날,"> 흠, 비를 좋아하나 보군 제법 멋을 아는 녀석이야! 비 오는 날은 개구리나 달팽이 같은 녀석들이나 좋아하는 줄 알았어! 너처럼 비를 좋아한다고 당당하게 말하는 녀석 마음에 들어!"
,,흐린 날,> 흐린 날이라 아무래도 진심인 것 같군! 난 뭐든 딱 자르는 성격이라 말이 좀 거칠어질 때도 있는데 넌 어느 한쪽으로 치우치지 않는 배려심을 갖고 있는 것 같네!
,,,
,이 세상은 점점 편리해지고 있어! 근데 가끔 편리함만을 추구해도 되나? 이런 생각이 든단 말이지,,
,"> 예를 들면 계산기! 난 역시 주판이 좋아! 알을 탁탁 튕기는 그 느낌, 경쾌한 소리! 디지털 도구로는 그 즐거움을 느낄 수 없지! 주판을 롤러스케이트 삼아 달렸다가 호되게 혼나는 경험도 계산기로는 느낄 수 없다고! 으-하하핫!",,
,> 예를 들면 이메일! 난 역시 편지가 좋아! 한 글자 한 글자 정성 들여서 쓰면 마음이 더 잘 전해진다고! 비록 글씨는 서툴지만 내 진심을 상대에게 전하고 싶어!,,
,> 예를 들면 티슈! 난 역시 걸레가 좋아! 물만 조금 흘려도 금세 티슈에 손이 가기 마련이지만 아깝지 않냐? 걸레는 여러 번 빨아서 쓸 수 있으니까 더 편하게 쓸 수 있다고!,,
,,,
,그러고 보니 너 그거 아냐?,,
,"> 바다의 우유라고 불리는 굴에는 타우린이라는 성분이 1,000mg도 넘게 들어 있다고 하더라?! 힘을 팍! 써야 할 때 먹으면 좋겠어! 으-하하핫!",,
,> 달콤하고 부드러운 벌꿀은 그 성분과 수분 함유량 때문에 절대 안 썩는다고 하더라?! 난 단걸 싫어해서 별 상관은 없지만 말야! 으-하하핫!,,
,"> 빙수에 뿌리는 과일 시럽 말인데 딸기나 메론이나 색과 냄새만 다르지, 맛은 똑같다고 하더라?! 머리가 찡해지는 것도 맛이랑 상관없이 똑같고 말야! 으-하하핫!",,
,,,
,"너, 컴퓨터라는 거 만져본 적 있냐? 난 얼마 전에 친구 집에서 처음 만져봤는데 컴퓨터는 그 좀 전문 용어가 어렵지 않냐?",,
,> 친구가 나보고 '일단 창을 열어봐'라길래 갑자기 뭔 소린가 싶었지! 일어나서 방 창문을 열었는데 그 녀석이 배꼽 빠져라 웃더라고,,
,> 친구가 나보고 '마우스로 클릭'을 해보라는데 뭔 소리를 하나 싶었지! 컴퓨터에 연결된 작은 덩어리로 화면을 탕탕 두드렸더니 깜짝 놀라서 말리더라니까!,,
,> 친구가 나보고 '드래그 앤 드롭'을 해보라는데 뭔 소리야 싶었어! '잡아서 던지다' 라는 뜻이니까 컴퓨터를 들어올렸더니 파랗게 질려서는 날 말리더라고!,,
,,,
,내가 살던 곳에 좀 특이한 친구가 있었는데 걔가 말이야,,
,"> 스마트폰으로 노래를 듣다가 갑자기 가방 속을 뒤지는 게 아니겠어? '뭐 찾는 거 있냐?' 하고 물었더니 '스마트폰이 없어!' 라고 하지 뭐냐! 너무 웃겨서, 한동안 그대로 가만히 뒀어!",,
,"> 디지털 시계의 숫자가 다 똑같아지면 갑자기 흥분하면서 나한테도 보라고 성화를 부리곤 했어 걔 때문에 요즘엔 나도 숫자가 다 똑같아지길 기다리게 됐지 뭐냐 나, 남한테 영향을 잘 받는 타입인가 봐!",,
,> 쌍둥이였어 쌍둥이는 텔레파시가 통한다고들 하잖아? 그래서 그런가? 어느 날은 둘 다 똑같이 머리가 뻗쳤더라구! 아무리 나라도 웃음이 터지고 말았어! 걔네한테 기념 사진도 찍어줬어!,,
,,,
,"지금! xx에 뭐가 필요한지 넌 아냐? 바로 똑 부러지는 리더다! 그리고 xx에 어울리는 리더 하면 역시 나 아니겠냐! 내가 이 xx의 정상에 설 수 있게 존재감을 팍팍 어필할 수 있는 일화를 슬쩍 흘려줘, 부탁한다!",,
,,,
,잠깐 얘기 좀 들어줘라! 내가 땅을 파다가 어마어마한 보물을 발견했다는 소문이 돌았던데 전혀 그런 기억이 없어서 당황했다구 그래서 진상을 파헤쳐봤더니 어릴 때 묻은 유리구슬 얘기였지 뭐냐 역시 소문은 참 무서워 여러 사람들 사이에서 돌고 돌면서 유리구슬이 보물로 둔갑하다니!,,
베스트 프렌드 타입 A,나 요즘 제대로 보진 않아도 배경음 삼아서 TV를 계속 켜 놓곤 하거든 넌 어때? 하루에 TV를 몇 시간 정도 보냐?,,
,선택지,한 시간쯤,"> 흠흠, 그렇군 보고 싶은 방송만 보는 건가? 사실 난 동물이나 어린이가 나오는 방송에 완전 약하거든 그런 감동적인 장르는 울컥해서 눈물을 흘리곤 해서 혼자 있을 때가 아니면 못 봐!"
,,거의 안 봐,> 흠~ 그렇군! 요즘은 TV 없이 사는 녀석들도 제법 많다지? 사람들의 취미나 취향도 다양해졌고 말야! 이것도 시대의 흐름인가
,,하루 종일!,> 오~ 완전 TV에 푹 빠져서 사나 본데?! 근데 너 그랬다간 낚시나 곤충채집할 시간이 없어지는 거 아니냐?! 뭐든지 '적당히'가 좋은 거야! 으-하하핫!
,,,
,"그나저나 너, 뭐 싫어하는 거 없냐? 난 말이지, 웬만한 건 다 괜찮고 참을 수 있는데 병원만은 도저히 못 참겠더라!",,
,"> 병원 하면 제일 먼저 주사가 생각나잖아?! 주사 놓을 때마다 선생님이 '안 아파요~' 라고 하는데 한 번도 안 아팠던 적이 없었다고! 안 돼, 싫어! 주사는 절대 안 맞을 거야!",,
,> 병원만 가면 왜 특유의 냄새가 있잖아? 소독약인지 뭔지 대기실에 감도는 그 묘한 냄새 말야! 세균과 함께 나까지 소독당하는 기분이라 영 마음에 안 든다니까,,
,> 어렸을 땐 다치거나 열이 나는 일로 부모님이랑 같이 다녔는데 요즘은 건강 검진 때문에 가는 경우가 많단 말이지 옛날부터 난 검사니 시험이니 하는 게 싫었어,,
,,,
,지금이야 많이 유해졌지만 나도 한때는 바보처럼 허세를 부리던 시기가 있었지!,,
,> 신발이 모종삽인가 싶을 정도로 앞코가 뾰족한 것만 골라서 신고 다니고 말야 계단에선 걷기가 힘들어서 죽는 줄 알았다니까!,,
,"> 바지는 '저거, 치마 아니야?' 할 정도로 헐렁한 것만 골라서 입고 다녔지 한쪽 구멍에 두 다리를 다 넣는 바람에 급한데 종종걸음밖에 못 해서 진땀을 뺀 적도 있었다니까!",,
