좋은 친구부터,"트레이닝도 말이지, 무작정 운동만 하면 되는 게 아니라구! 지금부터 내가 xx류 트레이닝을 가르쳐줄게!",,
,> 예를 들면 의자에 앉을 때도 살짝 엉덩이를 떼고 앉거나 발끝으로 몸을 지탱하는 거지! 근육질 몸매는 하루아침에 만들어지지 않아! 매일 착실하게 노력하는 게 최고란 걸 마음에 새겨둬!,,
,> 트레이닝 하면 달리기지! 오래 달리는 비결은 발뒤꿈치부터 땅에 내려놓는 거야! 발가락부터 땅에 닿으면 아킬레스건이랑 종아리가 엄청난 부담을 받거든-! 달리기를 할 때는 그 부분을 의식하면서 움직이는 게 포인트야!,,
,"> 어려운 운동을 계속하면 힘이 들잖아? 걷기 운동처럼 가벼운 운동을 매일 계속하는 것도 나쁘지 않다구! 아, 귀찮더라도 양말은 꼭 신어라-! 신발에 쓸리거나 물집 잡히면 아프잖냐- 뭐, 나 정도 되면 양말을 안 신어도 괜찮겠지만!",,
,> 근육을 키우고 싶을 때는 강한 운동을 적은 횟수로 해야 해! 반대로 근육을 꽉 조이고 싶을 땐 가벼운 운동을 많이 하는 게 류 트레이닝의 기본이지- 우선은 1일 3번 정도로 정해두고 너한테 맞는 트레이닝을 하는 게 좋아-!,,
,"> 여러 가지 트레이닝 루틴이 있지만 가장 중요한 건 어쨌든 꾸준히 하는 거야! 운동을 계속하는 요령은 목표로 삼은 몸매를 구체적으로 상상하는 거랄까? 6개로 쫙 갈라진 복근 불끈 솟은 상완이두근 아, 아무튼 이미지를 그려봐!",,
,,,
,"매일매일 운동할 때 입는 티셔츠는 내 전우와도 같아, 내가 그 전우를 뭘 보고 고르는지 아냐-?",,
,선택지,편안함,"> 오, 꽤 훌륭한 대답인데-? 그치만 나한테 편안함은 두 번째 기준이야! 우리 주민들한테 내 근육을 얼마나 보여줄 수 있는지! 그게 제일 중요하지!"
,,통기성,"> 너, 혹시 무슨 스포츠 한 적 있냐? 뭐, 대부분은 그렇게 대답하지! 하지만 나한테 통기성은 두 번째 기준이다! 일부러 작은 옷을 입어서 땀에 젖은 근육을 어필 그게 트레이닝의 증거지!"
,,사이즈,"> 오오! 어떻게 알았냐?! 너, 눈치가 빠르구나-! 작은 사이즈를 입으면 근육이 크게 보이거든! 다시 말하자면 나한테 근육은 패션의 일부인 셈이야!"
,,디자인,> 시선이 가는 그림이나 글 같은 게 옷에 있으면 무심코 보게 되잖아? 그럼 잘 단련된 내 커다란 근육에까지 시선이 닿겠지! 이게 내 노림수라구!
,,,
,다들 근육통을 싫어하지만 나는 그렇게 싫지 않아-!,,
,> 근육통이 생기면 근육이 한 아름 더 커진 것 같아서 무진장 기뻐! 그리고 꽤 기분도 좋고!,,
,> 근육통은 말하자면 나를 향해 외치는 근육의 비명인 거잖아? 그래서 근육통이 생기면 근육과 이어진 느낌이라 엄청나게 기뻐! 앞으로도 열심히 단련해서 근육하고 솔직하게 대화를 나누고 싶다-!,,
,"> 며칠 전에 xx가 '팔에 근육통이 생겼어!'라고 하더라구 그래서 내가 '팔에서 어느 근육?' 하고 물었더니 글쎄, 모른다는 거야! 팔 근육이라고 해도 말이지 상완이두근, 상완삼두근, 상완근, 여러 가지가 있다구!",,
,,,
,"있잖아, 근육통 있을 때 하는 마사지 말이야 말 그대로 끝내주지 않냐?",,
,선택지,알지 알지 하긴 그래,> 그래? 너도 아는구나! 나는 그냥 혼자서 마구 주무르는 것뿐이지만! 왠지 이 순간을 위해서 트레이닝을 하는 것 같은 기분이 들어!
,,엥~ 아픈데 그런가?,"> 그렇구나, 그런 초심자에겐 파스 붙이는 걸 추천할게! 뭐, 나 같은 경우는 근육통이 없어도 파스를 자주 붙이지만-!"
,,,
,"있잖아 벗으면 멋진 몸매가 인기가 많다고 많이들 그러던데 왜, 딱 봤을 땐 근육 없어 보이는데 막상 옷 벗으면 의외로 근육이 있어서 깜짝 놀라는 그런 거! 진짜 멋진 몸매는 항상 벗고 있어야 더 인기 있는 거 아니냐-?!",,
,> 좋아-! 그럼 모범을 보여줄 겸 내가 먼저 벗어야지-! 잠깐 아직 식스 팩 안 생겼는데 아~ 역시 다음 기회로 미뤄야겠다-! 오늘은 이만 해산-!,,
,> 앗! 설마 입었을 때랑 벗었을 때 차이가 크니까 더 인상적인 건가? 으~ 나는 잘 모르겠어-!,,
,,,
,얼마 전에 xx가 나한테 애 같다고 그러더라-! 젠장-! 내가 어디가 애 같다는 거야-!,,
,> 좋아하는 아이스크림이 뭐냐고 하길래 뚜껑에 묻은 아이스크림이 제일 좋다고 대답했을 뿐인데-!,,
,> 긴팔 옷을 입을 때 팔을 어디로 넣어야 되는지 헷갈려서 이상하게 입게 될 때 있지 않냐고 했을 뿐인데-!,,
,> 비행기 흉내를 내면서 뛰어다니다가 잘못해서 옆에 있던 건물에 부딪쳤을 뿐인데-!,,
,,,
,"야! 나 어젯밤에 복근이 12개로 갈라지는 꿈을 꿨어-! 헤헷, 이렇게 또 한 걸음 프로 선수의 몸매에 가까워진 것 같아! 조만간 내가 선수로 데뷔하는 것도 꿈이 아니라구-!",,
,,,
,저번에 xx가 날더러 맥주병이라고 그러더라! 크윽-! 난 온몸이 근육이라서 가라앉을 수밖에 없단 말이야! 수영을 못하는 게 아니라고-!,,
베스트 프렌드 타입 A,"얼마 전에 xx랑 약속을 잡았는데 말야, 그 녀석이 약속 장소에 없더라구! 뭐, 나도 좀 늦게 나가긴 했지만",,
,"> 그날은 날씨가 무진장 좋아서 너무 기분이 좋길래 약속 가기 전에 운동을 시작했거든? 항상 하던 루틴으로 1세트 정도를 끝내고 나서야 약속 시간이 지난 걸 깨달은 거야-! 당황해서 약속 장소로 달려갔는데 뭐, 이거는 어디로 보나 내 잘못이긴 하지~!",,
,"> 사과했더니 화를 풀기는 했는데 진짜 내가 잘못하긴 했어- 내 근육에 홀려가지고 신나게 포즈 잡다가 늦었다니 입이 찢어져도 말 못하지- 헉, 말해버렸잖아?!",,
,> 나갈 준비를 하고 있는데 마침 TV에서 내가 요즘 좋아하는 트레이닝 코치가 나오더라구 푹 빠져서 보다 보니까 어느샌가 약속 시간을 지나쳐버렸지 뭐냐! 아령이 있으면 ! 뭐든지 할 수 있다! TV에서 그런 소리를 하길래 아령을 들고 사과하러 갔는데 '한참이나 화를 안 풀더라구-!,,
,,,
,오늘은 특별히 내 트레이닝 루틴을 가르쳐줄 테니까 잘 들어!,,
,"> 이름하여 xx류, 구멍 파기 트레이닝! 상완이두근에 힘을 꽉 주고 단숨에 구멍을 파내는 게 기본이야! 근데 흥분해서 너무 많이 파면 온 xx이 함정투성이가 될 테니까 메우는 것도 잊으면 안 돼!",,
,"> 이름하여 xx류, 흔들흔들 트레이닝! 좌우의 대흉근에 힘을 꽉 주고 xx에 있는 나무를 흔드는 게 기본이야! 대신 트레이닝을 할 때는 벌을 주의하도록-!",,
,"> 이름하여 xx류, 낚싯대 트레이닝! 대흉근을 앞뒤로 움직여서 낚싯대를 있는 힘껏 흔드는 게 기본이야! 이걸 잘하면 물고기도 잡을 수 있으니까 일석이조라구-!",,
,"> 응? 뭐야- 표정이 되게 심드렁하다? 하긴, 사람마다 단련하고 싶은 부위는 다르기 마련이지! 니가 집중하고 싶은 근육이 정해지면 언제든지 찾아와서 말해! 내가 최고의 훈련 루틴을 짜줄게!",,
,,,
,내가 주민들 모두에게 근육이 얼마나 멋진지 알려줄 좋은 방법을 생각해냈어!,,
,> 바로 '근육 축제'야! 근육으로 시작해서 근육으로 끝나는 근육 대축제라구! 만약 하게 되면 내가 축제의 실행위원장이 될게-! 개회식에선 뭐라고 할까~? 엉? 뭐 하는 축제냐고? 다 같이 완력이나 복근 단련을 위한 트레이닝을 해야지! 재밌을 것 같지 않냐?,,
,> 바로 '근육 일기'야! 매일 근육이 얼마나 성장했는지 일기에 쓰면서 관찰하는 거야! 마지막 장까지 다 쓰면 이 사회를 살아가는 데에 필요한 힘이 생길 거라구-! 아마도!,,
,> 바로 '근육 상담실'이야! 자신에게 맞는 트레이닝 방법을 상담해주려고 해! 답변을 해주는 건 내 흉근이야! 가슴에 손을 대고 물어봐! 너도 불끈불끈해지고 싶으면 언제든지 상담해줄게!,,
,,,
,뜬금없지만 내가 지금 어느 근육을 단련하는 중인지 아냐-?,,
