좋은 친구부터,내 음악성의 원천은 xx나 xx 같은 거지만 그 밖에도 아티스트로서의 xx님에게 영향을 준 책이 있단 말이지
,> 바로 이거야! 도움이 되는 책이니까 그대도 읽어보라구! 내가 꽃을 선물하기 시작한 것도 이 책의 영향일지 몰라
,> 아티스트에 대한 명확한 정의는 존재하지 않지만 예술이나 창작 활동을 통해 스스로를 표현하고 있다면 그게 바로 아티스트 아닐까? 즉 나도 xx님이라는 역할을 연기하는 한 명의 아티스트인 셈이지!
,
,그대는 소중한 사람에게 꽃을 선물한다면 어떤 꽃을 고르겠어? 장미는 색이나 개수로도 의미가 달라지니까 생각지도 못한 꽃말로 상대방에게 상처를 줄 위험도 있지 하지만 선물을 받은 상대가 기뻐한다면 난 그걸로 충분하다고 생각해 누군가를 위해 고민하는 시간 그거야말로 가치 있는 시간이지!
,
,"xx군/양, 내 고민 좀 들어주겠어? 아니, 별건 아니야 하지만 이런 이야기를 할 수 있는 것도 내 마음을 이해해주는 것도 그대뿐 으음? 어라? 무슨 고민을 했는지 잊어버렸다! 후후후, 그대는 고민을 잊게 만들어주는 신비한 능력을 갖고 있나 봐"
,
,xx님다운 모습을 유지하고자 나는 유행하는 패션에 항상 촉각을 곤두세우고 있지 특히 요즘 주목하는 패션은
,> 바로 스키니 진! 몸에 찰싹 달라붙는 핏감이 다리 라인과 실루엣을 돋보이게 해준다구! 그대도 한번 도전해보는 게 어때?
,> 바로 찢어진 청바지! 찢어진 형태는 곧 그 사람의 개성 누구도 흉내낼 수 없는 유일무이한 옷이라고 할 수 있다구 그치만 너무 와일드하게 찢으면 인기에 지장이 생기니까 주의해야 하지!
,> 바로 와이드 팬츠! 코디하는 건 좀 까다롭지만 발끝까지 신경 써서 멋을 낼 수 있지! 물론 나는 신발을 잘 안 신지만 말이야! 하핫~!
,
,"저기 말이지, 그대는 바지 길이가 어느 정도인 게 좋아?"
,> 바지 길이는 짧으면 짧을수록 시원하지! 참고로 나는 원래 하의를 잘 안 입으니까 더 시원하지만 하핫~!
,"> 긴바지를 롤업해서 복사뼈가 보이도록 입는 스타일도 있지만 지나치게 접으면 촌스러워 보이기 십상이지 반바지도 너무 짧으면 불편하단 말이야뭐, 결국엔 적당한 길이가 제일 좋겠군!"
,> 굳이 시대를 역행해서 길게 입는 올드 타입도 멋지다고 생각해 유행에 휩쓸리지 않는 것도 오히려 개성이 느껴져서 좋아!
,> 역시 난 내추럴한 모습이 제일 좋아! 태어났을 때처럼 말이지!
,
,xx군/양! 내가 용기 내는 방법을 알려줄게!
,> 소중한 사람의 미소를 떠올리면 돼! 지켜주고 싶은 사람이 있으면 용기를 낼 수 있다구
,> 너무 깊게 생각하지 말고 일단 행동에 나서면 돼! 결과가 어떻든 나는 행동으로 옮긴 사람을 칭찬하겠어!
,> 성공하는 이미지를 떠올리면서 무조건 실행에 옮기는 거야! 아무것도 하지 않고 후회하는 것보단 해보고 후회하는 편이 홀가분하거든! 만약 유감스러운 결과로 끝나더라도 난 그대를 자랑스럽게 생각한다구!
,
,"나는 말이지 가끔 혼자 있을 때 그런 생각을 해 앞으로 5년, 10년 뒤에는 어떻게 될까"
,"> 그때가 되면 이 주변 풍경도 많이 변해 있겠지 세상이 아무리 변해도 그대와 나는 계속 친구야 그렇지, xx군/양?"
,"> 그때가 되면 우리도 나이를 먹어서 지금은 상상도 못할 그런 모습이 되어 있겠지 겉모습이 어떻게 변하더라도 그대와 나는 굳은 인연으로 이어져 있어 그렇지, xx군/양?"
,> 미래에 어떤 일이 일어날지 우리는 전혀 알 수 없지만 이거 하나는 잊지 말아줘 xx군/양은 내게 그 무엇과도 바꿀 수 없는 포에버 프렌드야!
,
,에투알 무용수라면 누구나가 꿈꾸는 스타 무용수를 가리키는 말이지 자기만족만 해선 안 돼 때론 남들의 인정도 필요한 법 그러니 그대에게 부탁 좀 할게이 xx에 세계적으로 유명한 무용수가 있다는 소문을 넌지시 흘려달라구
,
,나는 말이지 이 xx에 온 뒤로 시계 보는 걸 관뒀어 햇빛에 눈 뜨고 벌레 소리로 계절을 아는 그런 생활 속에서 나만의 리듬을 찾고 진정한 나 자신을 만났다고나 할까? 사람은 시간의 속박에서 벗어나면 오히려 규칙을 찾아가는지도 모르지 그대도 만나보도록 해 진정한 자신을!
베스트 프렌드 타입 A,무언가 한 가지를 갈고닦는 일 정말로 대단한 것 같아
,> 위인들의 발명도 모두 수많은 시행착오 끝에 이루어진 거잖아! 중요한 건 원하는 답이 나올 때까지 절대로 포기하지 않는 끈기야 그래서 나도 어떻게 하면 그 애가 날 돌아봐줄지 항상 연구하고 있다구!
,> 한 가지 일에 열중한다는 의미에서 나도 마니아이긴 하지만 그 밖의 다른 것에 관심이 없는 건 아니라구! 그대도 이 점만은 오해하지 말도록!
,
,내게도 예전에는 함께 음악을 하던 동료가 있었지 지금은 헤어져버렸지만 말이야
,"> 뮤직과 사운드가 얼핏 비슷해 보이지만 사실은 다른 의미를 가진 것처럼 내 머리와 테크닉도 전혀 상반되는 것이었지 뭐, 내 뜨거운 하트를 기타 스킬이 따라주지 못했다 단지 그런 이유야"
,> 눈에 보이지 않는 것일수록 가치를 매기기 어려운 법 내가 그때 라이브에서 옷을 벗지 않았다면 우리 밴드는 해체하지 않고 계속 활동했을지도 모르지
,> 추구하는 음악이 다르다는 건 말로는 설명하기 어려운 문제야
,> 소위 말하는 추구하는 음악이 다르다는 이유로
,
,'잡초'란 이름의 풀은 없어! 발치에서 자라나는 풀들은 모두 각자의 이름을 가지고 있지
,> 그 풀들이 대단한 건 비가 오나 눈이 오나 좀처럼 죽지 않는다는 점이야! 아무 곳에서나 자라고 생명력도 식물 중에서 톱클래스라고 할 수 있지 않을까? 그 강인한 적응력 나도 본받고 싶어~
,> 그러니까 이름을 알면 꽃말도 찾을 수 있어 예를 들어 왕바랭이라는 풀꽃의 꽃말은 '잡초처럼 산다'라더군! 스스로 잡초라고 칭하다니 겸허한 자세야! 나도 본받아야겠어!
,> 이름을 한번 알게 되면 나에게 그 풀은 더 이상 잡초가 아니야! '강아지풀'처럼 귀여운 이름의 풀이라면 집에서 키우고 싶어질지도 몰라~!
,
,이런 날엔 가끔 생각이 나고는 해
,"> 내가 해외 생활을 하던 때 주말에 댄스 파티가 열리곤 했지! 보통은 파트너랑 춤을 추지만, 난 파티 회장에서 자청해서 피아노 연주를 하곤 했어 내가 누군가랑 춤을 추면 슬퍼하는 사람들이 생길 테니까! 나도 참! 하핫~!"
,> 내가 해외에서 살 땐 상대방에게 감정을 표현하는 법을 잘 몰랐어 좋아하는 그녀와 친해지고 싶어서 매일 꽃 선물을 했었지 그런데 어느 날 그녀가 '너네 집은 꽃집이야?' 라고 묻더군 유감스럽게도 나의 사랑은 꽃피우지 못했어
,"> 내가 해외에 살던 때 이야기인데 도무지 음식이 입에 안 맞더군~! 그래서 내 사랑 케첩을 항상 가방에 넣어다녔지 그러던 어느 날, 케첩 뚜껑이 가방 속에서 열렸지 뭐야! 그건 거의 대참사였어"
,
