좋은 친구부터,나 요즘 그림 그리는 데 푹 빠졌어~
,> 종이랑 펜만 있으면 어디서든지 그릴 수 있는 게 가장 매력적이지! 내 생각을 그림으로 계속 표현하는 게 지금의 나에겐 가장 보람찬 일이야 최근에 막 시작했지만!
,"> 우후훗, 그림을 그리는 행위는 내 마음을 여행하는 것과 같다고 봐! 그 순간의 나를 비추는 거울이랄까~ 지금 나 예술가처럼 말하지 않았니?"
,> 지금은 커다란 유화를 그리는 중이야 나만의 감성으로 표현하려고 매일 붓질 한 번에 정성 들이고 있어 완성은 오래 걸리겠지~
,
,나는 뭔가 고민이 있어도 따뜻한 물로 목욕을 하고 나면 개운해지더라!
,> 깊은 속부터 온몸이 따뜻해지면 마음속에 뭉쳐 있던 응어리가 목욕물에 풀어져버리는 걸까? 몸은 물론이고 마음도 함께 씻어낼 수 있으니까 목욕이 좋을 수밖에!
,> 목욕하고 마시는 xx는 또 얼마나 맛있는데~ 허리에 한 손을 올리고 꿀꺽꿀꺽 들이키면 어떤 고민이든 싹 날아가버릴 테니까 당신도 한번 시도해봐~!
,"> 우후훗, 늘 하는 목욕으로는 실감 못할지도 모르지만 거품 목욕은 그야말로 지상 낙원이야! 톡톡 터지는 거품에 둘러싸이면 자잘한 고민 따위는 다 잊게 되어 있어~"
,
,나 요즘은 도자기 만드는 데 푹 빠졌어~
,"> 마음을 비우고 흙을 개다 보면 왠지 차분해지거든~ 처음부터 그릇을 만들기는 어려워서 일단 아무 형태나 잡아보는 중이야! 응? 점토 갖고 노는 거 아니냐고? 엄연히 도예야, 도・예!"
,"> 후후후, 흙을 오래도록 마주 보고 있으면 흙이랑 대화를 하게 돼! 마치 또 하나의 나와 마주하는 감각이랄까~? 어머, 지금 나 예술가 같지 않았니?"
,> 지금은 방에 장식할 만한 꽃병을 만들고 있어~ 그런데 좀처럼 내가 납득할 만한 작품이 안 나오는 거 있지 자기주장이 너무 강해서 그 형태가 주인공인 꽃을 방해한다고나 할까? 아직 수행이 부족한가 봐~
,
,지금 인사의 중요성에 대해서 생각해보는 중이야~
,> 기운 넘치는 인사를 받으면 정말 기분 좋지 않니? 그런데도 금방 부끄러워져서 작은 소리로 대답할 때가 많았거든~ 그래서 매일 아침 사람들 모두에게 활기차게 인사하는 걸 목표로 삼으려고!
,> '안녕하세요!' '식사 하셨어요?' '좋은 하루 되세요!' 용건이 없어도 대화할 수 있으니까 친해지고 싶을 때 딱 좋지! 이렇게 마법과도 같은 말은 인사 말고는 없지 않겠어?
,> 매일같이 온갖 일들이 일어나지만 인사만큼은 변하지 않잖아? 아마 인사가 가장 중요한 말이기 때문이겠지! 왠지 우울할 때도 친구의 밝은 인사를 받고 괜찮아질 때가 있잖아~
,
,사실은 나 휴일에 자원봉사를 하고 있어!
,> 나는 이 xx를 정말 사랑하거든~ 그래서 꽃에 물을 주는 것처럼 쉽게 할 수 있는 일부터 시작했지! 누군가를 위해 하는 일은 기분 좋은 법이잖아~
,"> 우후훗, 괜히 여기저기 자랑하고 다닐 일은 아니지만 잡초를 뽑는 것부터 시작해서 xx의 미화 활동에 힘쓰고 있어 과장된 생각일지도 모르지만 그 덕분에 많은 사람이 웃게 될 수도 있으니까!"
,"> 우후훗, 내가 하는 일은 분실물을 찾아주는 것처럼 정말 사소한 봉사인걸! 당신도 혹시 분실물 같은 걸 보면 지나치지 말고 주인을 찾아줘~ 괜히 나섰나 싶어서 쑥스러울 때도 있지만 상대방은 분명 기뻐할 거야!"
,
,내 말 좀 들어봐! 얼마 전에 본 영화가 정말 재밌었는데 말야!
,> 마지막 신에서 상대에게 xx를 건넬 때의 표정과 몸짓이 어찌나 멋지던지 나도 보고 좀 배워야겠더라구~
,> xx의 정상을 노리는 주인공의 프로 뺨치는 실력이 어찌나 대단하던지 배우의 프로 의식에 감동했어~!
,> 의식 없는 주인공이 갓 만들어진 xx냄새에 눈을 떴을 때 나도 모르게 펑펑 울어버렸어
,
,맞다! 요전에 내 스냅 사진이 공개됐어! 주민들이 보고 패션 모델인 척한다고 수근대지 않을까 걱정이네 응? 어디에 공개됐냐구? 우리 고향에서 발행하는 전단지에 실렸어!
,
,내가 현대 사회에 질려 무인도로 도피했다는 소문이 친구들 사이에서 도는 모양이야! xx에서 생활하면서 힐링 효과를 얻고 있는 건 사실이지만 왜 그런 소문이 퍼진 걸까?
베스트 프렌드 타입 A,인테리어를 잘 해놓으면 마음에 여유가 생긴다고 하잖아
,> 옛날에 특이한 디자인에 반해서 딱 하나뿐인 테이블을 충동구매했거든? 그런데 디자인이 너무 훌륭한 나머지 어떻게 활용할지를 몰라서 결국 처분해버렸어 마음의 여유를 얻으려고 샀는데 여유 없이는 함부로 못 쓰는 가구였어 그때 큰 교훈을 얻었지
,> 옛날에 기능성에 반해서 충동구매로 멋진 의자를 샀어 그런데 신기한 게 뭔지 아니? 모든 게 완벽하니까 오히려 재미가 없더라 나도 참 왜 가진 물건에 만족하지 못하고 손에 없는 걸 찾을까?
,
,"이래 봬도 나, 패션에는 상당히 신경 쓰는 편이야!"
