먹보 A,먹보 B,운동광 A,운동광 B,무뚝뚝 A,무뚝뚝 B,느끼 A,느끼 B,친절 A,친절 B,아이돌 A,아이돌 B,성숙 A,성숙 B,단순활봘 A,단순활발 B
곰시,우락,록키,퍼머거,일섭,반데스,베어드,카를로스,설백,맬버른,애플,2호,비티,크로크,아그네스,챠미
피터,알베르트,코코아,엑스엘리,보리,아폴로,치즈,꺼벙,베이글,오로라,모니카,아롱이,신옥,안데스,캔버라,레이첼
땡칠이,안쵸비,힘드러,가브리엘,보이드,쿠스케처,돈후앙,염두리,마미,에바,백희,라자냐,히킨,클레오,한나,4호
비니거,페니실린,풍작,만복이,브루스,존,안소니,산토스,티파니,베티,미미,루주,캐시미어,실부플레,나디아,실비아
햄둥,3호,철소,바야시코프,근엄,충성,코알,잭슨,에끌레르,마르카,사탕,이자벨,신디,펑키맘,아이다,
아마민,로빈,차둘,선글,투투,앨런,글라햄,,솔미,파슬리,플라라,글루민,아이소토프,트로와,레이라,
타키,히죽,원승,박사,뚝심,대장,스나일,,뽀야미,캐롤라인,케첩,차코,나탈리,아리아,웬디,
델리,토미,햄스틴,왕서방,펑크스,츄양,헨리,,앨리,윤이,마롱,릴리안,복자,실루엣,제시카,
용남이,팽기,멧지,햄까스,켄,사지마,데이빗,,메이,이요,찍순이,초코,미애,사라,아이리스,
자끄,브로콜리,머슬,덕,근성,파도맨,스트로,,마가렛,바닐라,파이프,아세로라,줄리아,몽자,쵸이,
리키,팬타,오즈먼드,구리구리,햄쥐,킹,쪼끼,,마리아,마리모,부케,크리스틴,화자,엘레핀,미랑,
홉킨스,마철이,문대,토시,대공,시베리아,유니오,,캔디,티미,크리미,베리,브리트니,프랑소와,프릴,
뿌람,포크,아더,건태,머피,헐크,프랭크,,스트로베리,곱슬이,,서머,스누티,산드라,바바라,
야곱,빙수,찰스,김말이,마이크,대길,오골,,귀오미,꽃지,,예링,샨티,사브리나,휘니,
파올로,봉,크리스,참돌이,스쿼트,무뚝,곰도로스,,미자,빅토리아,,다랑어,나타샤,린다,파타야,
마사마,휴지,하이드,딩요,노르망,거무틱,리카르도,,올리브,카라멜,,패티카,잔디,마릴린,뿔님이,
개군,토니,춘섭,1호,관록,빌리,티처,,샌디,에스메랄다,,유네찌,바네사,폴라,리아나,
렉스,푸아그라,헤르츠,아이다호,,올리버,라이오넬,,릴리,캐비어,,그리미,,쇼콜라,젤리,
래미,김희,텀보,범호,,달만이,톰슨,,아크릴,애플리케,,패트라,,앤,아네사,
모리스,샤브렌,티볼트,챔프,,가북희,마스카라스,,실바나,레이니,,나키,,스미모,네이아,
맘모,먹고파,,핑,,금끼오,쭈니,,티나,사이다,,밀크,,안젤라,,
호떡,드리미,,릭,,단무지,안토니오,,,루시,,핑키,,민트,,
아잠만,리처드,,세바스찬,,늑태,케인,,,메이첼,,체리,,미란다,,
탁호,럭키,,봉추,,몽티,피엘,,,샐리,,링링,,제인,,
,에드워드,,철컥,,문복,덕근,,,문리나,,로타,,올리비아,,
,진상,,펭수,,덤벨,지미,,,아델레이드,,주디,,오팔,,
,박하스,,쟝,,글레이,밥,,,핑글이,,가위,,레베카,,
,동동이,,고메스,,갈가리,볼트,,,마르,,루나,,블랜더,,
,카일,,피스,,조르쥐,넬슨,,,순이,,호냥이,,타마,,
,하키,,지키미,,곤잘레스,,,,키키,,에이프릴,,택주,,
,우띠,,닌토,,호랭이,,,,말자,,백프로,,파틱,,
,빙티,,은수리,,슈베르트,,,,재스민,,탱고,,바슬레,,
,로데오,,땀띠,,스파크,,,,다람,,연유,,마틸다,,
,시몬,,탱크,,티본,,,,론다,,핀틱,,벨마,,
,패치,,병태,,밴덤,,,,라라미,,센트엘로,,줌마,,
,벤,,,,곰비,,,,사반나,,눈송이,,비앙카,,
,,,,,샘,,,,시드니,,카로틴,,마리,,
,,,,,로보,,,,메리어스,,,,유카리,,
